name,tvId,userId,rating
Obi-Wan Kenobi,92830,727,6.0
Obi-Wan Kenobi,92830,1595,4.0
Obi-Wan Kenobi,92830,1576,1.0
The Quintessential Quintuplets,84669,1461,9.0
BEASTARS,90937,1542,7.0
Star Wars: Andor,83867,692,1.0
Star Wars: Andor,83867,693,10.0
Star Wars: Andor,83867,1456,8.0
Star Wars: Andor,83867,696,8.0
Star Wars: Andor,83867,692,1.0
Star Wars: Andor,83867,693,10.0
Star Wars: Andor,83867,1456,8.0
Star Wars: Andor,83867,696,8.0
Star Trek: Lower Decks,85948,697,1.0
Star Trek: Lower Decks,85948,1279,10.0
Firefly,1437,1243,10.0
That Time I Got Reincarnated as a Slime,82684,1524,10.0
That Time I Got Reincarnated as a Slime,82684,1312,3.0
Castlevania: Nocturne,123548,907,4.0
Good Witch,61864,705,10.0
My Dress-Up Darling,123249,706,8.0
The Falcon and the Winter Soldier,88396,923,6.0
The Falcon and the Winter Soldier,88396,727,6.0
Servant,88055,923,9.0
Redo of Healer,99071,1524,1.0
Redo of Healer,99071,1312,7.0
Harem in the Labyrinth of Another World,114477,1312,9.0
The Irregular at Magic High School,60833,714,10.0
The Irregular at Magic High School,60833,1524,7.0
Mushi-Shi,26867,1524,5.0
MINDHUNTER,67744,1595,5.0
MINDHUNTER,67744,718,5.0
Cowboy Bebop,30991,1524,10.0
Scarecrow and Mrs. King,3414,1576,10.0
Cowboy Bebop,30991,1524,10.0
Scarecrow and Mrs. King,3414,1576,10.0
Roswell,4624,1542,8.0
Space Force,85922,724,7.0
Space Force,85922,740,5.0
Space Force,85922,1464,3.0
Ms. Marvel,92782,727,6.0
Ms. Marvel,92782,728,9.0
Ragnarok,91557,730,4.0
Cyberpunk: Edgerunners,105248,1250,4.0
The IT Crowd,2490,1559,5.0
The Boys Presents: Diabolical,152483,1312,1.0
The IT Crowd,2490,1559,5.0
The Boys Presents: Diabolical,152483,1312,1.0
Psycho-Pass,43865,1154,7.0
Unbreakable Kimmy Schmidt,61671,1542,8.0
"Love, Victor",97186,740,6.0
DC's Stargirl,80986,740,8.0
DC's Stargirl,80986,1542,9.0
DC's Stargirl,80986,742,4.0
The Librarians,61599,928,8.0
Teenage Mutant Ninja Turtles,2284,1542,8.0
Teenage Mutant Ninja Turtles,2284,1290,6.0
Alexa & Katie,76874,1542,8.0
Nikita,32868,747,9.0
Atlanta,65495,920,8.0
To Your Eternity,97525,1154,10.0
Sense8,61664,830,10.0
Sword Art Online,45782,752,10.0
Terminator: The Sarah Connor Chronicles,433,755,8.0
Terminator: The Sarah Connor Chronicles,433,1576,10.0
Terminator: The Sarah Connor Chronicles,433,755,8.0
Terminator: The Sarah Connor Chronicles,433,1576,10.0
Atypical,71578,1594,10.0
Atypical,71578,758,8.0
86 EIGHTY-SIX,100565,1467,8.0
No Game No Life,60808,1524,10.0
Johnny Test,1769,762,8.0
The Dragon Prince,81046,1312,1.0
The Dragon Prince,81046,1312,1.0
Are You Afraid of the Dark?,2913,1570,10.0
Are You Afraid of the Dark?,2913,1576,1.0
Baby Daddy,42272,1542,8.0
Stargate Universe,5148,1456,8.0
Baby Daddy,42272,1542,8.0
Stargate Universe,5148,1456,8.0
Sam & Cat,45666,773,10.0
Bridgerton,91239,1542,9.0
A Touch of Frost,2474,1594,7.0
The Pacific,16997,1576,10.0
Star Wars: The Bad Batch,105971,777,8.0
Your Lie in April,61663,778,10.0
May I Help You?,209275,1500,10.0
Wow! Wow! Wubbzy!,1346,780,10.0
The Purge,80213,1576,1.0
Shadow and Bone,85720,1542,7.0
The Purge,80213,1576,1.0
Shadow and Bone,85720,1542,7.0
Primeval,10268,1594,9.0
Good Trouble,80006,788,1.0
The Idol,135251,1576,10.0
Nashville,44549,1243,6.0
Jumong,4734,1588,4.0
FLCL,5895,794,10.0
Jumong,4734,1588,4.0
FLCL,5895,794,10.0
Citadel,114922,1595,5.0
Citadel,114922,826,4.0
Citadel,114922,797,7.0
All in the Family,1922,1352,7.0
It,19614,799,4.0
It,19614,966,8.0
A Discovery of Witches,77236,1592,8.0
Severance,95396,802,9.0
"Be Cool, Scooby-Doo!",64228,1561,1.0
"Be Cool, Scooby-Doo!",64228,1290,7.0
"Be Cool, Scooby-Doo!",64228,1576,1.0
Defiance,51704,866,6.0
Defiance,51704,1576,10.0
Hemlock Grove,42295,1576,1.0
Party of Five,4266,1243,9.0
The Haunting of Hill House,72844,938,8.0
The Haunting of Hill House,72844,813,8.0
The Haunting of Hill House,72844,1436,4.0
A Million Little Things,81499,1286,7.0
A Million Little Things,81499,1576,1.0
Uzaki-chan Wants to Hang Out!,98986,1312,10.0
True Lies,202099,1595,5.0
Castlevania,71024,1542,8.0
Nancy Drew,89572,1576,1.0
Castle Rock,71116,1436,4.0
Castle Rock,71116,824,7.0
Grantchester,61457,1594,7.0
The Neighborhood,81144,826,2.0
Scooby-Doo and Guess Who?,88367,1576,10.0
Dragon Age: Absolution,203805,1312,2.0
Dragon Age: Absolution,203805,830,6.0
Akame ga Kill!,61223,1524,4.0
The End of the F***ing World,74577,1286,1.0
Suburra: Blood on Rome,73671,1595,5.0
Resident Evil,108296,1595,3.0
Resident Evil,108296,1576,1.0
Life,3797,1243,8.0
Voltron: Legendary Defender,66558,1576,10.0
The Terminal List,120911,1595,4.0
The Terminal List,120911,1456,7.0
Manhunt,72597,840,6.0
Manhunt,72597,1576,5.0
Falling Skies,34967,842,5.0
Wynonna Earp,65988,1542,9.0
Green Acres,609,847,10.0
Green Acres,609,1576,10.0
Green Acres,609,1352,8.0
Happy Tree Friends,1126,850,5.0
The Alfred Hitchcock Hour,21728,1576,10.0
Nadia: The Secret of Blue Water,24710,1290,7.0
Fleabag,67070,1559,1.0
Fleabag,67070,855,9.0
Outer Banks,100757,1542,8.0
Fantasy Island,39775,1576,10.0
The Alienist,71769,860,6.0
The Alienist,71769,861,9.0
Batwoman,89247,1542,7.0
Monty Python's Flying Circus,849,1352,8.0
Continuum,43020,865,10.0
Continuum,43020,866,6.0
Fate: The Winx Saga,97175,1542,8.0
Our Flag Means Death,109939,904,10.0
Our Flag Means Death,109939,1595,2.0
The Ranch,65493,1542,9.0
My Love Story With Yamada-kun at Lv999,208067,1312,6.0
Infinity Train,91425,1290,8.0
The Outer Limits,21561,1576,10.0
1923,157744,1077,6.0
Family Reunion,87093,1542,9.0
Pride and Prejudice,1457,1594,8.0
Pride and Prejudice,1457,1145,10.0
Guillermo del Toro's Cabinet of Curiosities,83659,1436,8.0
Strawberries with Sugar,308,1145,2.0
The Walking Dead: World Beyond,94305,1228,1.0
The Walking Dead: World Beyond,94305,1569,2.0
The Ark,47663,1595,4.0
The Twilight Zone,16399,1576,4.0
FUBAR,221300,1077,4.0
FUBAR,221300,1595,4.0
Absentia,72755,1260,4.0
Maid,111141,1455,9.0
Maid,111141,1455,9.0
The Girlfriend Experience,64387,1286,4.0
Tales from the Crypt,2391,892,10.0
Tales from the Crypt,2391,893,8.0
Tales from the Crypt,2391,1576,10.0
The King: Eternal Monarch,93846,1500,9.0
Masters of Horror,3470,1576,10.0
Dirty John,83251,1436,9.0
Nick Cannon Presents: Wild 'N Out,2299,1576,1.0
The Mick,66551,1522,7.0
Vincenzo,117376,900,10.0
When They See Us,81355,1594,9.0
She-Ra and the Princesses of Power,79732,1576,1.0
The Witcher: Blood Origin,106541,1595,3.0
The Witcher: Blood Origin,106541,904,1.0
Invader ZIM,3793,1290,7.0
Paradise PD,81983,1576,1.0
DOTA: Dragon's Blood,118956,907,8.0
Ranking of Kings,112613,1286,6.0
Extraordinary Attorney Woo,197067,910,10.0
Extraordinary Attorney Woo,197067,1455,9.0
The Righteous Gemstones,82782,1542,7.0
The Righteous Gemstones,82782,1542,7.0
The Devil's Plan,214582,1436,10.0
Leave It to Beaver,5133,1576,10.0
The Legend of Vox Machina,135934,1312,4.0
WKRP in Cincinnati,971,1576,10.0
Unsolved Mysteries,126,1576,10.0
Scream: The TV Series,62823,920,8.0
Scream: The TV Series,62823,1576,1.0
Watchmen,79788,922,9.0
Watchmen,79788,923,10.0
Watchmen,79788,1541,9.0
Sledge Hammer!,520,1576,10.0
Kaiji,42951,926,8.0
Unforgotten,62505,1594,10.0
Tour of Duty,11095,928,7.0
1899,90669,1595,4.0
1899,90669,1077,8.0
1899,90669,1136,4.0
1899,90669,1259,7.0
1899,90669,1456,8.0
